"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Willy Adames","TBR","31","106","3","10","8","1","4.7%","34.0%",".149",".242",".178",".217",".327",".237",".303","56","-0.8","-6.2","2.5","0.0","15986"
"Alec Bohm","PHI","31","121","3","13","15","2","5.0%","27.3%",".108",".266",".216",".248",".324",".248",".338","55","1.2","-5.6","1.4","0.0","21618"
"Starlin Castro","WSN","26","104","1","3","13","0","3.8%","20.2%",".092",".308",".255",".279",".347",".272",".281","69","-0.2","-4.3","0.3","-0.1","4579"
"Andrew McCutchen","PHI","27","110","4","11","11","2","14.5%","26.4%",".172",".230",".194",".309",".366",".301",".343","89","-0.3","-1.9","-2.6","-0.1","9847"
"Jorge Soler","KCR","29","115","2","11","16","0","7.8%","29.6%",".155",".266",".196",".277",".351",".276",".357","77","-0.2","-3.3","-1.6","-0.1","14221"
"Kevin Newman","PIT","27","103","1","6","6","0","4.9%","8.7%",".052",".205",".196",".233",".247",".215",".254","35","1.0","-7.4","2.9","-0.1","17696"
"Erik Gonzalez","PIT","28","97","2","7","14","1","2.1%","17.5%",".116",".250",".221",".237",".337",".249",".301","57","-0.6","-5.8","1.5","-0.1","13369"
"Ian Happ","CHC","26","102","2","9","4","1","14.7%","32.4%",".083",".245",".167",".307",".250",".266",".329","67","0.2","-4.0","-0.9","-0.2","17919"
"Jason Heyward","CHC","29","104","3","12","9","2","7.7%","26.9%",".156",".231",".188",".250",".344",".261",".284","64","0.0","-4.7","-0.4","-0.2","4940"
"Francisco Lindor","NYM","25","106","1","10","3","0","12.3%","13.2%",".045",".173",".157",".276",".202",".227",".303","47","-0.1","-7.2","2.0","-0.2","12916"
"Dylan Moore","SEA","31","100","2","8","11","6","13.0%","34.0%",".118",".180",".129",".250",".247",".233",".282","53","1.5","-3.9","-1.5","-0.2","18042"
"Eugenio Suarez","CIN","28","122","5","15","12","0","9.8%","36.9%",".178",".172",".140",".238",".318",".249",".287","53","0.6","-6.6","0.2","-0.3","12552"
"Albert Pujols","LAA","24","92","5","9","12","1","3.3%","14.1%",".174",".176",".198",".250",".372",".269",".359","75","-0.8","-3.5","-2.2","-0.3","1177"
"Dominic Smith","NYM","24","90","2","5","9","0","3.3%","24.4%",".116",".286",".233",".256",".349",".262",".368","69","-0.3","-3.8","-2.0","-0.3","15653"
"Marcell Ozuna","ATL","30","130","4","11","19","0","9.2%","23.1%",".120",".241",".205",".285",".325",".274",".330","70","-0.2","-5.1","-2.2","-0.3","10324"
"Lourdes Gurriel Jr.","TOR","26","101","2","8","9","1","3.0%","23.8%",".105",".268",".221",".248",".326",".250",".283","58","0.2","-4.7","-3.0","-0.4","19238"
"Willi Castro","DET","27","108","1","8","5","0","4.6%","28.7%",".088",".271",".196",".241",".284",".233",".269","48","-1.1","-7.6","-1.5","-0.6","17338"
"Cavan Biggio","TOR","25","100","2","9","5","0","12.0%","33.0%",".107",".260",".179",".286",".286",".258",".239","64","-1.0","-5.2","-3.7","-0.6","19252"
"Elvis Andrus","OAK","30","110","0","7","4","3","6.4%","19.1%",".030",".183",".149",".200",".178",".170",".242","10","0.5","-10.9","0.8","-0.7","8709"
"David Dahl","TEX","27","103","2","11","9","0","3.9%","27.2%",".105",".254",".200",".235",".305",".237",".276","52","-1.5","-7.2","-3.0","-0.7","13744"
"Jonathan Schoop","DET","28","105","2","8","8","0","3.8%","29.5%",".071",".235",".182",".210",".253",".204",".247","27","-0.3","-9.1","-2.5","-0.8","11265"
"Ryan Mountcastle","BAL","30","116","1","10","8","3","4.3%","31.0%",".083",".284",".202",".233",".284",".227",".265","45","-0.3","-7.7","-4.7","-0.9","18373"
